AlumniID,FirstName,LastName,Email,Gender,Country,City,Department,GraduationYear,EmploymentStatus,Occupation,DonationAmount,EventParticipationCount,Mentorship,Feedback,LastEngagementDate
ALU0041,Tara,Carr,john.alvarez@company.com,Male,Australia,West Kylebury,Nursing,2020,Employed,Clinical Assistant,0,0,Yes,1,3/29/2025
ALU0042,Mark,Rhodes,dennis.lynch@outlook.com,Male,United States,East Kellyborough,Arts,2022,Employed,Art Coordinator,2349.76,10,No,1,6/6/2025
ALU0043,Jim,Carroll,gary.smith@company.com,Female,United States,New Christian,Education,2024,Employed,Teacher,1247.32,2,Yes,2,10/2/2025
ALU0044,Eugene,Harmon,amy.taylor@company.com,Male,Canada,Waltonborough,Engineering,2021,Self-Employed,Automation Engineer,0,2,No,1,12/13/2023
ALU0045,Courtney,Grant,matthew.anderson@gmail.com,Female,United Kingdom,Johnsontown,Business,2021,Self-Employed,Marketing Specialist,0,4,No,1,5/17/2024
ALU0046,Joyce,Powers,julie.johnson@outlook.com,Female,Australia,South Anthonyton,Business,2020,Student,Business Analyst,0,2,Yes,4,4/15/2025
ALU0047,Michael,Richardson,jessica.carlson@yahoo.com,Male,Canada,Mitchellside,Education,2023,Unemployed,Curriculum Developer,0,7,No,4,7/4/2024
ALU0048,Derek,Grimes,luke.patterson@gmail.com,Male,Canada,South Cassandra,Education,2024,Unemployed,Curriculum Developer,4991.4,1,Yes,1,6/20/2025
ALU0049,Nicole,White,dean.perry@outlook.com,Female,Canada,New John,Education,2021,Self-Employed,Curriculum Developer,0,2,Yes,3,9/25/2025
ALU0050,Jason,Parker,nicholas.cook@yahoo.com,Male,United Kingdom,Deckerville,Arts,2023,Unemployed,Multimedia Specialist,0,10,Yes,3,10/19/2025
ALU0051,Jennifer,Hobbs,erica.brown@outlook.com,Female,Canada,Hartborough,Arts,2023,Employed,Graphic Designer,0,10,No,5,1/4/2025
ALU0052,Adam,Ochoa,michael.king@company.com,Female,United States,Hammondfurt,Business,2021,Unemployed,Marketing Specialist,0,3,Yes,4,4/5/2025
ALU0053,Matthew,Pineda,lindsay.armstrong@company.com,Female,United States,East Rhonda,Education,2023,Self-Employed,Academic Advisor,4812.02,3,No,4,5/31/2024
ALU0054,Nicholas,Jones,tonya.evans@outlook.com,Female,United States,Ginastad,Education,2022,Unemployed,Teacher,0,5,Yes,5,7/2/2025
ALU0055,Jason,Koch,andrea.brooks@outlook.com,Female,United Kingdom,Matthewburgh,Engineering,2020,Self-Employed,Automation Engineer,3268.72,7,Yes,5,8/8/2024
ALU0056,Michelle,Allen,clinton.miranda@outlook.com,Female,United States,Emilyshire,Arts,2022,Employed,Multimedia Specialist,268.51,10,No,3,6/5/2025
ALU0057,Alexandria,Morris,rhonda.martinez@company.com,Male,United Kingdom,North Adamfort,Business,2025,Student,Marketing Specialist,0,4,Yes,5,12/2/2023
ALU0058,Katherine,Lopez,michelle.boyd@company.com,Male,Ghana,East Kyle,Computer Science,2022,Student,Software Engineer,0,0,No,5,3/28/2025
ALU0059,Richard,Flynn,jessica.richardson@company.com,Female,United Kingdom,South Scottmouth,Arts,2021,Student,Multimedia Specialist,4085.18,4,Yes,4,8/21/2025
ALU0060,Jeremy,Vazquez,anthony.mitchell@gmail.com,Female,United States,Bryantshire,Arts,2022,Self-Employed,Art Coordinator,0,7,Yes,1,11/3/2024
ALU0061,James,Martinez,suzanne.richard@yahoo.com,Male,United Kingdom,North Michael,Education,2022,Employed,Curriculum Developer,1996.41,6,No,3,11/12/2024
ALU0062,Anthony,Wilson,james.le@outlook.com,Male,United Kingdom,New Richard,Nursing,2023,Employed,Nurse Practitioner,0,3,No,4,10/11/2024
ALU0063,Brandon,Hernandez,michael.torres@yahoo.com,Female,Ghana,Davidtown,Nursing,2024,Self-Employed,Nurse Practitioner,0,7,Yes,1,4/3/2025
ALU0064,Sheri,Henson,kyle.marshall@gmail.com,Female,Ghana,Sandramouth,Business,2020,Unemployed,HR Coordinator,0,5,Yes,5,10/31/2023
ALU0065,Carly,Smith,gregory.rodriguez@outlook.com,Female,Canada,Lake Catherinehaven,Arts,2025,Employed,Art Coordinator,0,10,No,5,5/12/2024
ALU0066,Nicholas,Zimmerman,wesley.faulkner@gmail.com,Male,Canada,Cheyenneville,Computer Science,2020,Self-Employed,Software Engineer,0,6,Yes,4,12/2/2023
ALU0067,Tammy,Miller,lawrence.guzman@company.com,Female,United Kingdom,West Michaelmouth,Education,2024,Employed,Academic Advisor,2734.73,5,Yes,4,1/15/2025
ALU0068,Eric,Thompson,tiffany.hudson@company.com,Female,Ghana,Clarkmouth,Education,2024,Employed,Teacher,0,4,Yes,3,4/9/2024
ALU0069,Ricardo,Gordon,breanna.little@company.com,Female,Ghana,Davidview,Arts,2020,Self-Employed,Graphic Designer,0,2,No,1,8/26/2024
ALU0070,John,Ellis,kevin.garcia@outlook.com,Female,Ghana,West Haroldside,Education,2021,Student,Teacher,1294.37,7,Yes,3,12/27/2023
ALU0071,Allison,Williams,destiny.parker@yahoo.com,Male,Australia,West Michael,Nursing,2025,Self-Employed,Registered Nurse,1647.24,10,Yes,4,10/8/2025
ALU0072,Shirley,Graham,frederick.moore@yahoo.com,Female,Canada,Kingchester,Arts,2021,Unemployed,Art Coordinator,0,3,No,4,3/2/2025
ALU0073,Garrett,Price,justin.cunningham@gmail.com,Female,Ghana,East Sean,Arts,2023,Student,Art Coordinator,0,4,Yes,4,9/4/2024
ALU0074,James,Gibson,dale.simmons@yahoo.com,Male,United States,Robinsonshire,Computer Science,2025,Employed,IT Support Specialist,0,9,Yes,2,8/26/2024
ALU0075,Jennifer,Mann,elizabeth.morgan@gmail.com,Female,Canada,East Robertport,Business,2023,Employed,HR Coordinator,0,3,Yes,4,3/31/2024
ALU0076,Erica,Cook,rachel.rivers@company.com,Female,United States,Jonesborough,Computer Science,2021,Student,Software Engineer,0,6,No,4,10/6/2024
ALU0077,Zachary,Taylor,erin.armstrong@company.com,Male,Ghana,Simsside,Education,2022,Unemployed,Academic Advisor,718.87,2,Yes,1,10/4/2024
ALU0078,Mark,Campos,paul.benton@gmail.com,Female,Ghana,Donnachester,Business,2023,Employed,Business Analyst,0,2,No,1,4/5/2024
ALU0079,Brianna,Swanson,shannon.thompson@gmail.com,Male,Canada,Matthewsland,Engineering,2024,Unemployed,Civil Engineer,0,10,No,2,2/1/2024
ALU0080,Christina,Smith,chad.moran@company.com,Male,United States,Evanshaven,Computer Science,2020,Unemployed,IT Support Specialist,4128.57,2,No,2,3/18/2024
ALU0081,Savannah,Weber,anita.anderson@gmail.com,Male,Australia,North Jonathanbury,Engineering,2023,Self-Employed,Civil Engineer,0,3,No,5,5/31/2025
ALU0082,Robert,Silva,vincent.griffith@outlook.com,Male,Canada,West James,Engineering,2025,Unemployed,Civil Engineer,836.78,6,No,5,6/21/2025
ALU0083,April,Jackson,jose.ruiz@yahoo.com,Male,United Kingdom,South Dianabury,Education,2020,Unemployed,Academic Advisor,2848.85,9,Yes,4,6/9/2025
ALU0084,Shawn,Johnson,timothy.henry@company.com,Female,Ghana,Hopkinsmouth,Education,2024,Unemployed,Academic Advisor,0,10,No,4,9/18/2025
ALU0085,Andrea,Hicks,peter.santos@outlook.com,Female,United Kingdom,North Tiffanyfurt,Computer Science,2025,Employed,Data Analyst,0,6,Yes,4,6/5/2024
ALU0086,Alexandra,Kemp,ricardo.molina@gmail.com,Female,Ghana,Markfort,Engineering,2021,Employed,Civil Engineer,0,6,No,3,12/8/2024
ALU0087,Heather,Duke,nathan.bell@outlook.com,Male,Canada,Clarkstad,Arts,2020,Student,Art Coordinator,0,8,No,5,4/5/2024
ALU0088,Carolyn,Thompson,stephen.goodman@outlook.com,Male,Australia,North Vincent,Computer Science,2024,Self-Employed,Data Analyst,2144.79,0,Yes,1,11/29/2023
ALU0089,Nicholas,Glover,nicole.hammond@company.com,Male,United Kingdom,South Gina,Engineering,2020,Student,Automation Engineer,1528.73,10,Yes,5,12/30/2023
ALU0090,Robert,Mills,amanda.morris@company.com,Male,Australia,South Timothyborough,Arts,2024,Employed,Graphic Designer,4350.32,1,No,5,6/15/2024
ALU0091,Jaclyn,Johnson,david.fields@company.com,Female,United States,Ashleyshire,Computer Science,2023,Employed,Software Engineer,0,0,Yes,1,3/11/2025
ALU0092,Jessica,Johnson,caroline.owen@yahoo.com,Male,United States,Port Rodneymouth,Business,2023,Unemployed,Business Analyst,0,8,No,3,7/30/2024
ALU0093,Matthew,Green,krystal.davis@yahoo.com,Female,United Kingdom,Richfort,Nursing,2025,Self-Employed,Registered Nurse,0,10,Yes,4,8/13/2025
ALU0094,David,Chandler,cole.ward@company.com,Female,Ghana,Grahamchester,Education,2024,Unemployed,Curriculum Developer,0,1,Yes,2,8/29/2024
ALU0095,Justin,Kaufman,julie.smith@yahoo.com,Female,United Kingdom,Schmidttown,Arts,2020,Student,Graphic Designer,1873.83,1,Yes,1,2/21/2024
ALU0096,Nathan,Cook,terri.johnson@gmail.com,Male,Canada,North Patrick,Education,2020,Unemployed,Academic Advisor,1832.54,9,Yes,1,8/28/2024
ALU0097,Lisa,Brown,anna.henderson@gmail.com,Male,United States,Markfort,Engineering,2023,Student,Civil Engineer,4558.73,8,Yes,1,7/22/2025
ALU0098,David,Best,david.hoffman@outlook.com,Male,Canada,Lake Scottbury,Computer Science,2020,Unemployed,Data Analyst,0,4,Yes,4,1/5/2025
ALU0099,Bobby,Henry,katherine.walsh@yahoo.com,Female,United States,Fostertown,Nursing,2020,Student,Nurse Practitioner,2572.3,6,Yes,5,8/18/2024
ALU0100,Ashley,Nichols,paige.reyes@company.com,Male,Ghana,Andersonfort,Computer Science,2022,Unemployed,Data Analyst,0,3,No,4,9/29/2024
ALU0101,James,Willis,william.morris@outlook.com,Female,United Kingdom,Port Erinport,Arts,2022,Self-Employed,Multimedia Specialist,0,8,Yes,4,9/24/2024
ALU0102,Kimberly,Taylor,donald.young@company.com,Female,Australia,Jeffreybury,Computer Science,2020,Unemployed,Software Engineer,349,8,No,4,10/22/2024
ALU0103,Benjamin,Paul,leslie.moore@outlook.com,Female,United States,Petermouth,Education,2022,Self-Employed,Teacher,0,4,No,5,9/4/2024
ALU0104,Michael,Santiago,jason.miller@company.com,Female,United States,North Amber,Nursing,2022,Self-Employed,Registered Nurse,0,2,No,5,7/15/2024
ALU0105,Stephanie,Martinez,larry.saunders@gmail.com,Female,United States,New Jamesport,Computer Science,2020,Employed,Software Engineer,0,1,No,4,10/2/2024
ALU0106,Micheal,Hill,renee.moore@outlook.com,Female,United Kingdom,Kingbury,Computer Science,2020,Employed,IT Support Specialist,0,9,Yes,1,3/30/2024
ALU0107,Danielle,Hill,jessica.cruz@gmail.com,Female,Canada,Ruizton,Business,2022,Self-Employed,Business Analyst,0,0,Yes,5,1/29/2024
ALU0108,Nancy,Ferguson,carlos.duncan@outlook.com,Male,Canada,Jonathonfurt,Business,2021,Self-Employed,HR Coordinator,0,0,Yes,2,1/23/2024
ALU0109,Jason,Doyle,jean.anderson@outlook.com,Female,United States,New Phillip,Computer Science,2021,Student,Software Engineer,0,6,Yes,1,4/22/2024
ALU0110,Kenneth,Strong,thomas.spencer@company.com,Male,Australia,West Michaelfurt,Business,2025,Self-Employed,HR Coordinator,1169.09,10,Yes,3,3/25/2025
ALU0111,Carla,Schultz,lawrence.chambers@company.com,Female,United States,Colemanland,Computer Science,2025,Self-Employed,IT Support Specialist,0,1,No,5,5/12/2025
ALU0112,Donna,Gonzalez,jason.washington@yahoo.com,Female,Canada,Watsonberg,Nursing,2023,Student,Nurse Practitioner,1490.64,9,No,2,11/10/2024
ALU0113,Sara,Johnson,lawrence.joyce@yahoo.com,Male,Australia,Annaberg,Nursing,2020,Unemployed,Nurse Practitioner,2724.53,4,Yes,4,7/25/2024
ALU0114,Robert,West,karen.berg@outlook.com,Male,United States,North Christopher,Arts,2025,Self-Employed,Multimedia Specialist,0,6,No,2,2/2/2024
ALU0115,Miranda,Johnson,david.caldwell@yahoo.com,Male,Australia,Lake Tyler,Education,2020,Employed,Academic Advisor,3293.37,8,No,4,2/5/2024
ALU0116,Sarah,Stokes,travis.smith@outlook.com,Male,Canada,West Christinabury,Computer Science,2021,Employed,Data Analyst,0,5,No,5,10/11/2025
ALU0117,Peter,Maynard,amanda.brooks@outlook.com,Female,Canada,Sierraland,Computer Science,2021,Self-Employed,IT Support Specialist,0,1,Yes,1,11/21/2024
ALU0118,Matthew,Porter,edward.lopez@company.com,Male,Australia,Kirkshire,Arts,2020,Self-Employed,Art Coordinator,0,4,Yes,5,9/27/2025
ALU0119,Joshua,Marshall,joseph.howell@outlook.com,Female,United Kingdom,East Davidview,Arts,2020,Self-Employed,Art Coordinator,0,7,Yes,3,7/15/2025
ALU0120,Karen,Sullivan,mandy.alexander@outlook.com,Female,Australia,Michaelhaven,Education,2025,Unemployed,Teacher,0,7,No,4,11/12/2023
ALU0121,Brittney,Smith,william.smith@outlook.com,Male,United States,South Gregoryville,Arts,2025,Student,Graphic Designer,0,9,No,2,7/1/2025
ALU0122,Dorothy,White,laura.scott@outlook.com,Female,Ghana,South Gregorymouth,Business,2022,Student,HR Coordinator,1479.29,9,No,1,1/14/2024
ALU0123,Desiree,Park,nicholas.martin@gmail.com,Male,Ghana,Port Courtney,Engineering,2020,Self-Employed,Mechanical Engineer,0,3,No,1,3/5/2025
ALU0124,Regina,Soto,megan.gray@outlook.com,Male,Ghana,Gonzalezfort,Nursing,2020,Student,Clinical Assistant,2279.82,1,No,4,4/5/2025
ALU0125,Sarah,Salazar,rebecca.chan@gmail.com,Male,Canada,North Jacob,Computer Science,2024,Employed,IT Support Specialist,2716.71,3,Yes,3,7/8/2024
ALU0126,Wendy,Snow,tanner.zavala@gmail.com,Male,Australia,Lambertberg,Education,2021,Student,Teacher,0,5,Yes,4,9/7/2025
ALU0127,Tina,Andrews,dylan.mcfarland@yahoo.com,Female,United Kingdom,West Melissa,Business,2024,Self-Employed,Business Analyst,0,5,Yes,2,3/16/2024
ALU0128,Anthony,Henderson,anthony.turner@outlook.com,Male,Canada,Sullivanmouth,Computer Science,2021,Self-Employed,Software Engineer,0,3,Yes,4,1/6/2024
ALU0129,Paul,Walsh,april.williams@company.com,Female,Australia,South Chadborough,Computer Science,2020,Employed,IT Support Specialist,0,9,Yes,5,3/14/2024
ALU0130,David,Lambert,rebekah.johnson@gmail.com,Male,United States,North Charles,Nursing,2022,Student,Clinical Assistant,0,0,Yes,5,9/16/2025
ALU0131,Nathaniel,Chan,william.garrett@yahoo.com,Female,United States,Lake Matthewborough,Computer Science,2020,Unemployed,Data Analyst,3494.23,2,Yes,3,5/1/2025
ALU0132,Joseph,Gonzalez,david.king@yahoo.com,Male,United Kingdom,Lewisfort,Nursing,2021,Self-Employed,Registered Nurse,0,9,Yes,5,11/7/2023
ALU0133,John,Alexander,katelyn.dalton@outlook.com,Male,United Kingdom,Deborahmouth,Nursing,2024,Employed,Clinical Assistant,4902.67,6,Yes,2,8/8/2024
ALU0134,Brittany,Stephenson,william.massey@company.com,Male,Ghana,South Robertville,Engineering,2020,Employed,Civil Engineer,0,8,No,2,3/15/2024
ALU0135,Victoria,Richard,kyle.whitaker@outlook.com,Male,Ghana,Harrischester,Arts,2020,Student,Art Coordinator,0,3,Yes,5,9/27/2024
ALU0136,Jeremy,Briggs,charles.greer@outlook.com,Male,Ghana,West Shaunmouth,Arts,2025,Self-Employed,Multimedia Specialist,1448.57,7,Yes,4,11/23/2023
ALU0137,Philip,Ramirez,elijah.harrison@gmail.com,Male,Australia,New Tonyatown,Computer Science,2025,Self-Employed,Software Engineer,0,1,No,3,11/13/2024
ALU0138,Margaret,Howard,katie.cole@company.com,Male,Canada,Jenniferton,Nursing,2021,Employed,Clinical Assistant,0,5,No,2,3/8/2024
ALU0139,Joshua,Thompson,valerie.thompson@yahoo.com,Male,Canada,Martinezfurt,Nursing,2020,Student,Clinical Assistant,4281.33,7,Yes,1,9/17/2024
ALU0140,Stephanie,Wilson,jeffrey.young@company.com,Male,Ghana,Julieport,Education,2022,Self-Employed,Teacher,0,7,Yes,1,2/21/2025
ALU0141,Taylor,Jones,brianna.barron@outlook.com,Female,Australia,West Richardbury,Education,2022,Student,Curriculum Developer,0,4,No,1,9/26/2025
ALU0142,Lindsey,Jenkins,luis.carey@gmail.com,Female,Ghana,Kingville,Nursing,2022,Employed,Registered Nurse,0,9,No,2,11/22/2023
ALU0143,Steven,Powell,chad.dickson@gmail.com,Male,United Kingdom,Millerborough,Engineering,2023,Unemployed,Mechanical Engineer,0,10,No,1,7/13/2025
ALU0144,Jennifer,Holloway,douglas.livingston@outlook.com,Female,Ghana,South Jessicabury,Engineering,2024,Employed,Automation Engineer,0,2,Yes,1,8/21/2024
ALU0145,Theresa,Williams,edward.sanchez@yahoo.com,Male,Canada,Kaneside,Engineering,2023,Unemployed,Automation Engineer,0,1,Yes,2,9/10/2024
ALU0146,Dominique,Atkins,donna.archer@gmail.com,Male,United States,North Heather,Education,2023,Employed,Academic Advisor,0,3,No,4,8/15/2024
ALU0147,Kyle,Simmons,crystal.gardner@company.com,Female,Australia,New Jacobhaven,Business,2025,Employed,HR Coordinator,0,9,Yes,5,9/21/2024
ALU0148,Tyler,Wilson,luis.perez@outlook.com,Female,Canada,Danieltown,Nursing,2022,Employed,Nurse Practitioner,0,0,Yes,3,9/18/2024
ALU0149,John,Carroll,maurice.silva@yahoo.com,Female,Canada,Richardmouth,Nursing,2024,Employed,Nurse Practitioner,281.16,8,Yes,5,7/7/2025
ALU0150,Michele,Jones,becky.elliott@company.com,Male,Australia,West Amanda,Engineering,2023,Unemployed,Mechanical Engineer,0,9,No,4,5/2/2025
ALU0151,April,Anderson,katherine.hendricks@company.com,Female,United States,Cindyport,Arts,2024,Employed,Graphic Designer,0,10,Yes,2,9/17/2025
ALU0152,Gregory,Butler,dylan.yates@gmail.com,Female,United States,East Rebeccamouth,Engineering,2022,Student,Automation Engineer,0,9,Yes,3,8/14/2024
ALU0153,Leah,Martinez,travis.johnson@yahoo.com,Female,United States,Fowlerfort,Education,2022,Student,Curriculum Developer,0,2,No,5,2/3/2025
ALU0154,Kelly,Lewis,douglas.butler@yahoo.com,Female,Australia,Johnsonberg,Business,2025,Student,Business Analyst,0,1,No,2,7/9/2024
ALU0155,Christina,Alexander,scott.brown@yahoo.com,Male,United Kingdom,South Johnport,Arts,2022,Unemployed,Multimedia Specialist,0,3,Yes,2,12/22/2024
ALU0156,Brianna,Payne,justin.gregory@company.com,Female,Canada,Matthewsfort,Education,2022,Self-Employed,Teacher,2273.73,6,Yes,3,6/9/2024
ALU0157,Matthew,Reyes,brady.lowe@yahoo.com,Male,Canada,New Kirstenport,Business,2021,Self-Employed,HR Coordinator,0,2,Yes,3,2/5/2024
ALU0158,Kyle,Dean,eric.baker@yahoo.com,Male,United Kingdom,Haleyfort,Nursing,2021,Unemployed,Nurse Practitioner,2073.59,6,Yes,1,12/22/2024
ALU0159,Laura,Foster,carla.barnes@outlook.com,Male,United States,Michaelview,Arts,2024,Unemployed,Graphic Designer,0,10,Yes,3,8/2/2024
ALU0160,Jennifer,Acosta,tracy.green@yahoo.com,Female,Australia,North Gabriellatown,Business,2024,Unemployed,Business Analyst,0,9,No,4,6/27/2025
ALU0161,Sarah,Warner,ashley.johnson@gmail.com,Male,Canada,Patrickburgh,Computer Science,2025,Employed,Data Analyst,0,1,No,3,1/24/2024
ALU0162,Timothy,Watson,evelyn.norman@gmail.com,Male,Australia,Lopezburgh,Nursing,2024,Employed,Registered Nurse,0,3,No,2,1/19/2025
ALU0163,Todd,Walker,joshua.barton@yahoo.com,Female,Canada,Lake Vickie,Engineering,2024,Student,Civil Engineer,0,4,No,3,6/20/2024
ALU0164,Karen,Franklin,bradley.anderson@outlook.com,Female,Canada,Alejandrostad,Computer Science,2024,Self-Employed,Software Engineer,0,4,Yes,4,11/20/2024
ALU0165,Renee,Lee,wanda.love@yahoo.com,Male,Australia,Brittanymouth,Nursing,2023,Self-Employed,Clinical Assistant,0,2,Yes,4,11/19/2023
ALU0166,Melissa,Fisher,walter.williams@company.com,Female,Ghana,Lukebury,Nursing,2024,Unemployed,Clinical Assistant,0,6,Yes,1,8/17/2024
ALU0167,Micheal,Ramos,mason.phillips@gmail.com,Female,Australia,Lake James,Business,2020,Unemployed,HR Coordinator,0,10,No,5,7/31/2024
ALU0168,Jill,Jones,emily.davis@yahoo.com,Female,Canada,Tylerstad,Engineering,2021,Self-Employed,Civil Engineer,0,1,Yes,2,8/12/2025
ALU0169,Amber,Riley,greg.thomas@gmail.com,Male,Canada,Port Brookeborough,Business,2022,Employed,Business Analyst,0,5,No,4,7/19/2025
ALU0170,Aaron,Hendrix,david.johnson@company.com,Male,Ghana,Port Barbara,Education,2021,Employed,Academic Advisor,4016.34,10,No,1,8/30/2024
ALU0171,Michael,Martinez,scott.sweeney@company.com,Male,Ghana,Jenniferville,Business,2023,Employed,Marketing Specialist,0,5,No,2,12/8/2023
ALU0172,Melvin,Hill,lindsay.villanueva@company.com,Female,Ghana,Sharonborough,Engineering,2025,Student,Automation Engineer,0,3,No,2,11/11/2023
